x,y,yaw,v_x,v_y,omega
-4.75,0.0,0.0,5.008246984939146,-0.027830206788588566,-0.023548636513421095
-4.499587650753043,-0.0013915103394294285,-0.0011774318256710548,5.037507461594767,-0.02120461728715491,-0.0216109393693934
-4.247713700615728,-0.002748306480707014,-0.002257978794140725,5.074628222220164,-0.011532890832474506,-0.0158277645701493
-3.9939842383752553,-0.003897869211189747,-0.00304936702264819,5.10673247605266,0.019186048706386384,0.009247558219202052
-3.7386458764525994,-0.0037171851095924528,-0.002586989111688087,5.151602434369251,0.042530273250075676,0.03226062592481806
-3.4810611154012148,-0.002257034789950635,-0.0009739578154471843,5.210562276048233,0.04190567558007635,0.037760513666705395
-3.220531084448784,-0.0004154953571983721,0.0009140678678880856,5.269368236759974,0.033397880189541956,0.03605937403837827
-2.9570643090735946,0.001495225930592312,0.0027170365698069993,5.329017555995907,0.01844727634407233,0.02738690409554302
-2.6906169208748545,0.0031415422315171568,0.00408638177458415,5.394549350745657,0.021203225094937397,0.03139349301802999
-2.4208960375702278,0.005303900974624583,0.00565605642548565,5.46658514549101,0.006954818059155203,0.021396928327700716
-2.1475731191503242,0.007197593774381318,0.006725902841870686,5.541417905400672,0.015410215825263043,0.028564377542748494
-1.8705136732328964,0.009831625009055146,0.00815412171900811,5.617605502023484,0.007229013452772532,0.02304129435212875
-1.5896456831828578,0.012483370236533498,0.009306186436614548,5.698620226993039,-0.044976213139353696,-0.020890113601485277
-1.30470608243522,0.012886239797476478,0.008261680756540284,5.792165898291003,-0.09158799339914751,-0.06788506803757646
-1.0150698380172174,0.010699620469510729,0.0048674273546614605,5.889063639236292,-0.1084107385790633,-0.09672974673977197
-0.7205937601531425,0.0067123715649475045,3.094001767286157e-05,5.989396223522385,-0.08845897562905129,-0.09709812507410413
-0.4211238122742487,0.00229868838686075,-0.004823966236032345,6.089207078366217,-0.03822703115322332,-0.06880230958573874
-0.11667622110389214,-0.0010813417028733415,-0.008264081715319282,6.185281191246866,0.016997709678774037,-0.028266682388770115
0.19258430136001764,-0.0027872396089626697,-0.009677415834757789,6.285071074336785,0.03074815247722426,-0.013708021691729527
0.5068380177961753,-0.0042910188238894295,-0.010362816919344266,6.384654442826756,0.04420558878571455,0.0027881573132320734
0.8260765035244167,-0.005388949107530993,-0.010223409053682662,6.484232780098227,0.05306544882371107,0.017735729945265108
1.150298324702814,-0.006050305790062966,-0.009336622556419406,6.578368541799436,0.04983996891124699,0.024244210486022776
1.4792256820835834,-0.006629358548773405,-0.008124412032118267,6.665169813735024,0.06506240317840614,0.04609552771227978
1.812499603686864,-0.006083845258180025,-0.005819635646504278,6.728348763034551,0.1007419662793909,0.08880545448212207
2.1489406588464517,-0.00300464810645311,-0.0013793629223981746,6.771324603066556,0.0891909004838566,0.09971537219305539
2.48751271824376,0.0009878871187225433,0.0036064056872545953,6.785550966634049,-0.01422769650578909,0.03192952113385966
2.8267906257651974,0.0015000767471538702,0.005202881743947578,6.798588356340096,-0.04529276770820796,0.0048148172717691895
3.166727225244128,0.001004073596348097,0.0054436226075360375,6.782151750783828,-0.10069631462658818,-0.049562932605847966
3.5058571959049405,-0.0021847029237861077,0.002965475977243639,6.7524140247315945,-0.20202059726486582,-0.15479690888082354
3.843506366933822,-0.011284483761096843,-0.004774369466797539,6.6845341370282565,-0.30651736552040787,-0.2850585281677638
4.177656093430225,-0.028205893085780316,-0.01902729587518573,6.607583191285922,-0.38142409794934407,-0.41317505259244103
4.507612598332633,-0.05355948855543426,-0.03968604850480778,6.586472123503017,-0.3743070419875977,-0.4876099360861612
4.835934355674639,-0.08532622657284251,-0.06406654530911585,6.5573604626669,-0.3456633193434895,-0.5451913983021015
5.162023222713184,-0.12356494010683361,-0.09132611522422092,6.484934448653418,-0.3634834787573239,-0.6377868074987019
5.483261230955952,-0.17123442370874764,-0.123215455599156,6.430382395585688,-0.34324480581331335,-0.7012538588914032
5.8002334710668455,-0.22778250833168137,-0.15827814854372618,6.441865861370092,-0.2280804380212435,-0.6793958837126726
6.116503163325705,-0.2898117184968938,-0.1922479427293598,6.441429296678875,-0.16121946333508003,-0.6778571169167541
6.431100996172859,-0.35926106202548075,-0.2261407985751975,6.4663563268778255,-0.05623521948570068,-0.6320417671648413
6.745556354372235,-0.4344949909728697,-0.25774288693343955,6.468485814824106,-0.004776601427879085,-0.6133942787321889
7.058236343983997,-0.5171663462154414,-0.288412600870049,6.454929369741923,0.007785728237342178,-0.6182841040390644
7.367763007243229,-0.6085921587434608,-0.3193268060720022,6.476045336544316,0.09432291662898522,-0.5578158100660714
7.67667661520683,-0.7057648547483469,-0.34721759657530576,6.494167598144468,0.12428175097597167,-0.5298054562149584
7.984121970524013,-0.8104142711821173,-0.3737078693860537,6.528600498521223,0.16971385361848007,-0.4838015742871613
8.291119704164407,-0.9216840320930045,-0.3978979481004118,6.575283485786077,0.22950196938073372,-0.4183045376079003
8.598646397924563,-1.038495387730842,-0.41881317498080683,6.631005548948326,0.29529993429840873,-0.3377424236463188
8.907546103744819,-1.1598401995177887,-0.4357002961631228,6.696206544503514,0.3481476750051456,-0.2567614295198038
9.218423384152162,-1.28536425598583,-0.448538367639113,6.777184452194869,0.37849086438425156,-0.18566078394642863
9.531969904533971,-1.415257637804134,-0.4578214068364344,6.865311560833794,0.3692331970572452,-0.14238564921917327
9.848045113137747,-1.5504188469541647,-0.4649406892973931,6.952163220848037,0.3487301918858927,-0.10962776243676564
10.166572032493894,-1.6906902522212202,-0.47042207741923137,7.040531744926996,0.347806987209053,-0.06313720988888005
